;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
2062;"
 ул. Коминтерна, 54к1
 ";152742.2857142857;15982.496034405762;0.10463700971649757;True;Дом 1963 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейКирпичное зданиеЦентральное отопление76 квартирГазЛифт отсутствуетМусоропровода нет
2063;"
 Лухмановская ул., 15к4
 ";147139.3;13583.61287581474;0.09231804742726615;True;Дом 2007 года;17 этажейПанельное зданиеЦентральное отопление2,70 м потолки787 квартирГаза нетЛифтМусоропровод
2064;"
 Новочерёмушкинская ул., 59
 ";236412.025;45101.20917142217;0.19077375261018203;True;Дом 2003 года;17 этажейПанельное зданиеЦентральное отопление2,74 м потолки395 квартирГаза нетЛифтМусоропровод
2065;"
 Фрязевская ул., 3к2
 ";157459.125;33636.60046451447;0.21362115701147502;True;Дом 1980 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки191 квартираГаза нетЛифтМусоропровод
2066;"
 Саратовская ул., 22
 ";188418.15;21126.275286417622;0.11212441734736077;True;Дом 2007 года;23 этажаПанельное здание2,64 м потолки792 квартирыГаза нетЛифтМусоропровод
2067;nan;0.0;0.0;0.0;False;nan;nan
2068;"
 ул. Героев Панфиловцев, 22к1
 ";163982.125;17907.310543724176;0.10920282039108943;True;Дом 1980 года;12 этажейПанельное зданиеЦентральное отоплениеГаза нетЛифтМусоропровод
2069;"
 Открытое ш., 25к4
 ";161894.55263157896;19245.05334487878;0.11887400182435083;True;Дом 1964 года;9 этажейБлочное здание2,64 м потолки68 квартирГазЛифтМусоропровод
2070;"
 Юго-Восточный административный округ, район Выхино-Жулебино
 ";0.0;0.0;0.0;False;"
 Юго-Восточный административный округ, район Выхино-Жулебино
 ";"
 Юго-Восточный административный округ, район Выхино-Жулебино
 "
2071;"
 ул. Поляны, 5Ак3
 ";190700.025;28315.684013888396;0.14848285423081825;True;Дом 2021 года;33 этажаМонолитное здание2,70 м потолкиЛифт
2072;"
 Старый Петровско-Разумовский пр., 3
 ";214191.29411764705;32911.20832011437;0.1536533427079324;True;Дом 1972 года;12 этажейКирпичное зданиеЦентральное отопление73 квартирыГазЛифтМусоропровод
2073;"
 Беговая ул., 28
 ";218750.825;36481.949649715476;0.16677399799390688;True;Дом 1973 года;14 этажейКирпичное зданиеЦентральное отопление3,00 м потолки137 квартирГаза нетЛифтМусоропровод
2074;"
 Россошанская ул., 3к2
 ";166311.475;19028.866279927843;0.1144170375491399;True;Дом 1971 года;9 этажейПанельное зданиеЦентральное отопление2,50 м потолки283 квартирыГаза нетЛифтМусоропровод
2075;"
 Гвардейская ул., 16
 ";163987.65;32515.476670002856;0.198280033100071;True;Дом 1967 года;9 этажейКирпичное здание2,64 м потолкиЛифтМусоропровод
2076;"
 ул. Серпуховский Вал, 22к3
 ";257176.7;55464.622897933776;0.21566737149179444;True;Дом 1928 года;6 этажейКирпичное здание2,97 м потолки60 квартирГазЛифтМусоропровод
